#,QUESTIONS,CORRECT,INCORRECT,,,
1,What is the chamber music for strings set work?,1st movement from the String Quartet in G Major K.387 'Spring',1st movement from the String Quartet in G Major K.378 'Summer',1st movement from the String Quintet in G Major K.387 'Spring',1st movement from the String Quartet in G Minor K.378 'Autumn',
2,Who wrote the chamber music for strings set work?,Wolfgang Amadeus Mozart,Schubert,Bach,Beethoven,
3,What is the form of the Mozart first movement?,Sonata form,Binary form,Ternary form,Rondo form,
4,What is the instrumentation of the Mozart first movement?,"2 violins, 1 viola, 1 cello","1 violin, 1 viola, 1 cello, 1 double bass","3 violins, 1 viola","2 violins, 2 violas",
5,How many movements are in the full piece of the Mozart?,Four,Three,Five,Ten,
6,What key is the first movement in for the Mozart first movement?,G major,D major,G minor,C major,
7,Briefly describe the phrasing in the Mozart first movement.,"The phrases are short and balanced (andecedent and consequent, or question and answer)",The phrases are long and smooth. Each phrase brings in a new idea.,The phrases are unbalanced.,"The phrasing varies greatly, so there is no real way to define it.",
8,Which of the following is NOT a compositional technique found in the Mozart first movement?,Diatonic melodies,Recurring rhythmic motifs,Imitation,Chromaticism,
9,What is a string quartet?,A genre of chamber music written for four string instruments,A genre of Baroque music written for four string instruments,A subgenre of K-pop inspired by BTS written for four string instruments,A genre of Classical music written for four orchestral instruments,
10,What separates mid-eighteenth century string quartets from Baroque forms?,The lack of a basso continuo part,The lack of a second violin part,The featuring of Jungkook,Six movements in a quartet,
11,What kind of people did the string quartet appeal to?,Eighteenth-century upper classes,Eighteenth-century working classes,Nineteenth century upper classes,BTS fangirls,
12,The string quartet was a ready form of private entertainment for whom?,Wealthy individuals and families,Working-class individuals and families,Bangtan Sonyeondan,A large audience,
13,Why did composers manipulate conventions of string quartet form for their audiences?,"Because audiences for quartets (commonly upper classes) enjoyed musical literacy and were educated on the form, so manipulating conventions surprised and delighted them.",Because President Namjoon asked them to,"Because audiences for quartets (commonly upper and middle classes) enjoyed hearing the slight tweaks in convention, as it made it much more interesting for them to listen to.","Because audiences for quartets (commonly upper classes) did not enjoy hearing differences from convention, and the composers liked to annoy them.",
14,How many string quartets are in the complete set of the Mozart?,Six,Ten,Five,Four,24?
15,Who did Mozart dedicate the set of string quartets to?,Haydn,Yoongi,Purcell,Bach,
16,Which of Haydn's quartets inspired Mozart to write his Haydn Quartets?,"Haydn's Op.33 set, which Mozart studied closely","Haydn's Op.44 set, which Mozart studied closely","Haydn's Op.22 set, which Mozart studied closely",Haydn's Op.55 set dedicated to Seokjin,
17,When did Haydn hear the quartets that Mozart dedicated to him?,1785,1995,1795,1775,
18,What did Haydn say to the father Leopold when he was visiting from Salzburg?,"""Before God, as an honest man, I tell you that your son is the greatest composer known to me either in person or by name. He has taste, and, what is more, the profound knowledge of composition.""","""BTS is the greatest band ever to form. Their music is wonderfully splendid and your son Wolfgang is quite a horrible composer compared to them.""","""I very much dislike the quartets that your son wrote in my name. They do not reflect my compositions at all. Rather, they are written much more in your son's style than mine.""","""Before God, as an honest man, your son will continue to be the great composer that he is and always has been. His quartets profoundly reflect mine with his own tasteful additions.""",
19,What is the Italian term used to indicate bowing on or near the bridge?,Sul ponticello,Pizzicato,Sul pontivélla,Bangtanio amazingo,
20,How many sections of violins are usually found in the symphony orchestra?,Two,Three,Four,One,
21,Which of the following is NOT a way the Mozart is typical of the time period?,Plays with formal conventions and expectations,Written in sonata form,Uses Classical chamber music compositional techniques,Development is in a related key,
22,What are the four movements of the complete Mozart?,"Fast movement, slow movement, minuet and trio, fast finale","Slow movement, minuet and trio, fast movement, fast finale",There are three movements,"Minuet and trio, slow movement, fast movement, moderate finale",
23,Which is one of the expressive possibilities that the string quartet presented composers with?,Greater subtleties than large-scale instrumental genres e.g. symphonies and concertos,"Increased possibilities for tonal complexity, compared to large-scale instrumental genres",Greater opportunities to feature J-Hope's rapping skills,"Less reliance on terrace dynamics, compared to solo works",
24,What is sonata form?,"A large-scale instrumental form consisting of three main sections: exposition, development and recapitulation.","A large-scale instrumental form consisting of three main sections: A, B, and A.",A large-scale instrumental form consisting of two main sections: A and B.,"A large-scale instrumental form consisting of indefinite sections, in the order of A, B, A, C, A, D, A, E, et cetera.",
25,Which of the following does the exposition NOT present?,Tierce de Picardie,Thematic material,Tonal contrast,Modulating from the tonic to a related key (usually the dominant if the orgiinal key is major or the relative major if the original key is minor),
26,Which of the following was NOT a composer of string quartets?,John Dowland,Carl Dittersdorf,Ludwig van Beethoven,Johann Wanhal,
