#,Question,Correct,Wrong,Wrong,Wrong,Wrong
1,Finzi: What kind of song is this?,An English art song,A Lied,A pop song,An instrumental song,A British art song
2,Finzi: How far back does the genre English art song go?,Late sixteenth to early seventeenth centuries,Late seventeenth to early eighteenth centuries,Late sixteenth to early eighteenth centuries,Late fifteenth to early sixteenth centuries,Back in my day
3,Finzi: Lute songs by which composers are notable from the late sixteenth to early seventeenth centuries?,John Dowland and Thomas Campion,John Dowland and Henry Purcell,Ralph Vaughan Williams and Henry Purcell,Michael Jackson and Thomas Campion,John Dowland and William Walton
4,Finzi: Whose works marked a high point in seventeenth century English music across all genres?,Henry Purcell,Ralph Vaughan Williams,Thomas Campion,Arnold Bax,Barack Obama
5,Finzi: How did foreign influences come to dominate the musical landscape in England?,The importation of Italian opera and in the works of Handel,Uncontrolled immigration,Work opportunities attracting foreigners to England,Serious self-esteem issues on the part of English composers (most of which fell into a deep depression),Their music was more appealing to audiences in England
6,Finzi: The solo songs in England were dominantly developing where?,From outside of England,In England,Oceania,Asia,The Americas
7,Finzi: The German tradition of the Lied was a large influence on the English art song. Which composers were part of that genre?,"Franz Schubert, Robert Schumann, Felix Mendelssohn, Johannes Brahms","Robert Schumman, Johannes Brahms, Johann Sebastian Bach, Franz Schubert","Felix Mendehlssohn, Wolfgang Amadeus Mozart, Johann Wolfgang Beethoven, Robert Schumann","Franz Schubert, Roberto Schumann, Felix Mendelssohn, Johann's Bras","Franz Schubert, Felix Mendelssohn, Johannes Brahms, William Shakespeare"
8,Finzi: What factors led to a period termed by some as the 'English musical Renaissance'?,"A growing sense of national awareness amongst English musicians, supported by a folk-song revival movement",A growing sense of national identity and confidence amongst musicians in England,An increase in English composers in England at the time creating more music,Foreign composers claiming to be English immigrating to England and composing masterpieces,A growing sense of national awareness that encouraged people to write less music
9,Finzi: What kinds of music were rediscovered in the 'English musical Renaissance'?, 'Pre-Handelian' English music (court music) and British folk music,"Jazz music, especially the elevator variety",British folk music and renaissance music,Renaissance music and 'Pre-Handelian' English music (court music),Pre-Bachian' English music and British folk music
10,Finzi: Examples of twentieth century composers that were beneficiaries of the re-emergence of English music after foreign domination:,"Ralph Vaughan Williams, John Ireland, Arnold Bax, William Walton, Benjamin Britten","John Ireland, Benjamin Britten, Franz Schubert, Mark Walton, Arnold Bax","William Walton, Ralph Vaughan Williams, Henry Purcell, Benjamin Britten, Arnold Bax","Ralph Vaughan Williams, John Coltrane, Arnold Bax, Benjamin Britten, Miles Davis","Ralph Vaughan Williams, John England, Arnold Bax, William Waton, Benjamin Britain"
11,Finzi: Examples of important English poets whose texts were set to music include:,"Shakespeare, Milton, Wordsworth, Coleridge, Hardy","Shakespeare, Dickens, Coleridge, Hardy, Wordsworth","Keats, Milton, Shakespeare, Donne, Wordsworth","Blake, Wordsworth, Hardy, Keats, Shakespeare","John Lennon, Paul McCartney, Ringo Starr, George Harrison"
12,Finzi: What instrumentation is an art song comprised of?,Solo voice and instrumental accompaniment,String orchestra and soloist,Solo voice,Solo instrument and instrumental accompaniment,A chamber choir with a string quartet
13,Finzi: How many short cycles of songs did Finzi compose?,At least 8,8,At least 24,10,16
14,Finzi: From which English poet is Finzi's Let us garlands bring's text from?,Shakespeare,Coleridge,Hardy,Milhouse,Wordsworth
15,Finzi: Which of Shakespeare's plays is O mistress mine from?,Twelfth Night,Macbeth,Romeo and Juliet,A Midsummer Night's Dream,Hamlet
16,Finzi: How many six-line stanzas (sextains) are there in the text?,2,4,6,17.3,8
17,Finzi: What kind of rhyme scheme do the sextains have?,aabccb,abacad,aaaaaa,ababab,abcabc
18,Finzi: How is the form of the song best described?,Semi-strophic,Strophic,Through-composed,Sonata form,Binary form
19,Finzi: What happens to the cadence at the end of each stanza?,It is elided with the commencement of the next piano section,It is replaced with a sequence that leads to the commencement of the next piano section,It is an imperfect cadence which leads nicely to the next section,It is repeated except changed so it becomes a 'second go',The performer forgets about it because they have a mental blank and can't remember how to play their instrument
20,What is a strophic song?,Each stanza is set to the same music,No substantial repitition of music for each stanza,A song without words,A song with a very repetitive melody,A song with a very repetitive harmony
