#,Question,Correct,Wrong,Wrong,Wrong,Wrong,
1,Mozart: What period is the initial development of chamber music linked to?,Classical Period,Baroque Period,Romantic Period,Jazz Period,The 80's,
2,Mozart: What feature separates the string quartet from Baroque forms?,Basso continuo,It requires a violin,Its music is better,Cheaper,Its instrumentation is different,
3,Mozart: When did the first string quartets appear?,In the 1760's,Stone Age,In the 1800's,In the 1780's,"Jesus time, brah",
4,Mozart: Where did the first string quartets appear?,"South Germany, Austria, Bohemia",In ur mum's basement,China,Germany and Bolivia,New Orleans,
5,Mozart: To which socioeconomic group did this music appeal?,"""Enlightened"" upper classes",Poor lower classes,Hard-working American taxpayers,Poor upper classes,Rich homeless people,
6,Mozart: How many players are required and what kind of space is it played in?,4 players in a small space,4 players in a large space,3 players in a small space,5 players in a large space,The entire population of the Asian continent (approximately 4.5 billion),
7,Mozart: Where were the quartets composed and when?,"In Vienna, between 1782 and 1785",In ur mum's basement,In Italy between 1782 and 1785,Nazi Germany,Germany in the early 1800's,
8,Mozart: How many of the quartets were composed?,6,5,1,4,"1,000,000,000,000",
9,Mozart: Who were the set of quartets dedicated to?,Haydn,Bach,Mozart,Beethoven,Jesus,
10,Mozart: To which work(s) were the works written in response to?,Haydn's Op. 33 set,Mozart's Op. 10 set,Beethoven's Op. 28 set,Haydn's Op. 34 set,Baby shark,
11,Mozart: What are the four movements in this String quartet K 387?,"Fast movement, Slow movement, Minuet and trio, Fast finale","Fast movement, even faster movement, even more faster movement, a movement that's so fast you didn't even realise it was playing until it ended","Fast movement, Slow movement, Fast movement, Slow movement","Fast movement, fast movement, slow movement, minuet and trio","Slow movement, slower movment, fast finale, minuet and trio",
12,Mozart: What are the two main archetypes of a theme in the Classical style?,Sentence and period,Sentence and full stop,Sentence and response,Dark mode and light mode,Syncopation,"Archetypes don't exist, conspiracy confirmed"
13,Mozart: What comprises a 'sentence' theme?,A 'presentation' phrase then a 'continuation and cadential' phrase,A theme that sentences.,A continuation phrase then a presentation of the results,A basic idea then a repetition of the basic ideas,Some words and then a full stop at the end.,
14,Mozart: What does a presentation phrase comprise of?,A two bar basic idea which is either repeated or modified,An eight bar basic idea thats repeated again so its 16 so thats quick maths,A two bar idea followed by another two bar idea,A four bar idea which is repeated,A song thats topping the charts,
15,Mozart: How many parts does the development have?,4,3,5,6,"As many as there are points in my IQ (in that case, none)",
16,Mozart: What type of theme does the first four bars of the exposition suggest?,Period-type theme,Sentence theme,Yellow theme,Halloween theme,Cadential theme,
17,"Mozart: Instead of returning to the initial basic idea at bars 5 and 6, what does the melody do?",Fragmentary process like the 'continuation' of the sentence type,A process called photosynthesis,The melody exposes the material from the development,It finishes in an imperfect cadence,It votes for Biden,
18,Mozart: What kind of theme does this become?,A kind of 'hybrid' theme of the period and sentence themes,A triple theme,A period theme,A sentence theme,It doesn't,
19,Mozart: How many additional bars are added to the standard eight-bar structure at bar 1?,2,4,8,1,262,
20,Mozart: What are the two cadences that occur at bar 8 and bar 10?,Interrupted and Perfect,Interrupted and Plagal ,Plagal and Perfect ,Pianist,Imperfect and Perfect,
21,Mozart: In which bar does the transition begin?,Bar 11,Bar 18,Bar 1,Bar 9,Bar Mitzvah,
22,Mozart: In which parts is the basic idea restated then imitated?,Second violin then first violin,First violin then second violin,Second violin then third violin,First violin then the baritone saxophone,Upper North Shore,
23,Mozart: To where does the piece modulate to by bar 16?,Dominant,Subdominant,Tonic,Leading Note,Alabama,
24,"Mozart: Which key is bars 21-24 in, and what does this create?","D major, creating a drawn-out imperfect cadence in dominant key","G major, creating a perfect cadence","F flat major, creating disharmony amongst the music community","E major, creating contrast to the previous section",It is in the key of C chromatic scale because that is what everything is in (massive brain moment),
25,Mozart: What does Mozart play tricks on?,Expectations of Classical thematic conventions,His unicycle,"His own mind, he was delusional",Expectations of Jazz people,Everyone and everything and everyone,
26,Mozart: How many extra bars are added to the standard eight-bar structure commencing at bar 25?,6,4,2,1,26,
27,Mozart: What does the repitition of the basic idea a step lower from bar 25 at bar 27 suggest?,A sentence-type theme,A period theme,Mozart was loony ,"It doesn't suggest anything, stop being so suspicious",The basic idea was repeated a step lower,
28,"Mozart: At bar 29, what would usually follow the repition of the basic idea?",Fragmentation and continuation,Repitition,Syncopation,The basic idea,Sentence and period,
29,Mozart: What happens at bar 29 instead?,A two bar contrasting idea with a weak imperfect cadence,A similar idea with a perfect cadence,A contrasting idea with an imperfect cadence,The basic idea followed by a plagal cadence,The basic idea is repeated in a different key,
30,Mozart: Which bars are the first and second subordinate themes?,"First is 25, second is 39","First is 39, second is 49",They happen simultaneously,"First is at bar 40, second at 50",Yellow submarine,
31,Mozart: What is the name of the totality of subordinate themes?,Subordinate theme group,Subordinate themes,Ordinate Subtheme group,Total of subordinate themes,It is themes of subdorndasdlfk,
32,Mozart: How does the second subordinate theme differr from the first subordinate theme?,"It is less distinctive, consisting of more 'generic' passage work","It is more distinctive, as it includes the original material while experimenting with it",It stays quite similar,It comes after the first subordinate theme,"It is less distinctive, consisting of very repetitve phrases",
33,"Mozart: Nearing the end of the exposition, there is a reptitive harmonic motion, mainly through which chords?",IV-V-I,I-V-vi,V-VI-I,I-IV-V,ii-V-I,
34,Mozart: What kind of cadence occurs at bar 47?,Interrupted,Plagal,Imperfect,Perfect,Cadence constructions,
35,Mozart: What closes the second subordinate theme and where?,A harmonic progression towards a perfect cadence at bar 49,A harmonic progression towards an imperfect cadence at bar 49,A chromatic progression towards a perfect cadence at bar 39,A ii-V-I progression at bar 49,A harmonic progression towards a perfect cadence at bar 49,
36,Mozart: How many bars at the end of the exposition are included in the 'closing section'?,6,All of them,8,4,2,
37,Mozart: What usually comprises a closing sections?,A series of cadence-like gestures (codettas),Notes,References to the basic idea from the opening,A series of perfect cadences,Dramatic phrasing,
38,Mozart: What is presented in the case of this closing section at the end of the exposition?,Cadence-like gestures (marked by a and b),Notes,Chords from the development section,"Nothing (ladies and gentlemen, introducing - drum roll please - Mozart the rebel)",Conclusive phrasing,
39,Mozart: Who is Joe?,Joe mama,Joe Biden,Joseph Stalin,Joe's sandwich bar,Joe (musician),
40,Mozart: Where is the logical place to close the exposition?,Bar 53,Bar 50,Bar 55,When the exposition starts because nobody wants to listen to it,China,
41,Mozart: What is presented at bar 53 in the case of this piece?,"Also a cadential formula, but something entirely new and distinctive","Not a cadential formula, something entirely new and distinctive","A cadential formula, with a closing perfect cadence that is completely to be expected",A cadential progression that happens at the end of every exposition,Global warming,
42,Mozart: What makes bars 54 and 55 distinctive?,Dotted rhythms and total homophony,It is so polyphonic that you decide to become breatharian,The articulative phrasing,The notes don't fit the chords,,
43,Mozart: What bar does the development start?,56,65,70,1,62,
44,Mozart: Part 1 of the development contains how many phrases?,3,2,4,8,17,
45,Mozart: What is the structure of each phrase in part 1 of the development?,Motif x followed by a newly composed extension,Motif x followed by motif y,Complete random structure where nobody has any idea what is happening,A motif that is repeated,Motif a followed by motif b followed by motif c followed by motif d etc.,
46,Mozart: The first phrase of part 1 of the development places the motif + extension in which part?,1st Violin,Viola,Cello,Saxophone,2nd Violin,
47,Mozart: The second phrase of part 1 of the development places the motif + extension in which part?,2nd Violin,Viola,Cello,Saxophone,1st Violin,
48,Mozart: The third phrase of part 1 of the development places the motif + extension in which part?,Viola,1st Violin,2nd Violin,3rd Violin,Cello,
49,Mozart: Could Mozart shred,Probably not,Absolutely,Without a doubt,Definitely,Mhm,
50,Mozart: What key is the development mainly in?,D major,A major,G major,D minor ,Circular Quay,
51,Mozart: The first phrase of part 1 of the development does what harmonically?,Commences in D major and concludes in E minor,Stays in D major,Cycle of fifths progression towards C major,Commences in D major and ends in A major,Provides an opportunity for a bass solo,
52,Mozart: The second phrase of part 1 of the development does what harmonically?,Moves through a circle of fifths progression toward C major,Remains in C major,Commences in D major then moves to E minor,"Nothing, everyone just goes quiet and stares at the floor",It searches for resolution in the tonic,
53,Mozart: The third phrase of part 1 of the development does what harmonically?,Remains in C major,Remains in D major,Commences in C major then moves to A minor,"Cycle of fifths progression towards the tonic, D major","Moves to the dominant key, A major",
54,Mozart: How can the harmonic nature of the music be described at the first part of the devleopment section?,Flexible,Consistent,Boring,Unpredictable,Repetitive,
55,Mozart: What does the viola complete its thematic entry (motif + extension) with in phrase 3 of part 1 of the development?,"An unaccompanied flourish, which is a further extension",A phrase that fits a perfect cadence,A phrase that fits an imperfect cadence,Fragments of the basic idea,A dessert,
56,Mozart: The viola's solo passage in the third phrase of part 1 of the development creates a model that is used where?,The sequence for the commencement of part 2 of the devleopment,The sequence for the end of part 1 of the development,At the end of part 2 of the development,At the end of the development,In a showroom,
57,Mozart: Where and what size is the model created by the viola's solo passage in the third phrase of part 1 of the development?,"A two bar unit in bars 72-73, heard another three times in sequence","A two bar unit in bars 70-71, heard another three times in sequence","A four bar unit in bars 72-75, heard again in sequence","A four bar unit in bars 70-73, heard another three times in sequence",A 2 minute long model that outlines the points that the team will debate,
58,Mozart: The sequence that the viola's model in the third phrase of part 1 of the development is  played over what?,Unresolved dominant 7th chords on a chromatically rising bass line,A harmonic progression of ii-V-I that continues with a bass line,Unresolved diminished 7th chords on a chromatically rising bass line,Imperfect and interrupted cadences ,The double bass parts,
59,Mozart: How does the second part of the development constrast to the first?,The second establishes a sense of purpose in constrast to the more exploratory and hesitant first part,The second part is in a different mode as opposed to the first one,The second part is more hesitant as opposed to the first which has a sense of purpose,More expressive techniques are used as opposed to the first part which lacks interest and variety,It doesn't happen,
60,Mozart: What is often thought of as the core of the development?,The moment of decisiveness (sequencing techniques following a less clearly directed part),The new theme being introduced,"A hard seed, similar to a peach",The basic idea from the exposition being developed,The movement into a different key that is not the dominant,
61,Mozart: At which bar does the sequencing finish in part 2 of the development?,Bar 80,Bar 82,Bar 78,Bar 1,Bar 92.5,
62,Mozart: What key does the sequencing in part 2 of the development finish in and the development remain in?,E minor,G major,C major,A minor,H diminished,
63,Mozart: Which bars in part 2 of the development confirm the key and dissipate the syncopation?,80-81,81-82,82-83,1-170,80-83,
64,Mozart: What begins at bar 82?,A new thematic unit,A new era for the American people,The closing section of the exposition,A new motif ,The development,
65,Mozart: What does the second thematic unit of part 2 of the development comprise?,A two bar unit,A four bar unit,An eight bar unit,A sixteen bar unit,A one bar unit,
66,Mozart: In which part does the second two bar unit in part 2 of the development occur and how many times?,First violin twice,Second violin once,Second violin twice,First violin once,Viola twice,
67,Mozart: From where do bars 86-89 draw material?,"Closing section of the exposition, in particular motifs b and c ",The beginning of the development section,"The beginning of the exposition, especially motif a",One of Mozart's other works,From a quarry,
68,Mozart: What does part 3 of the development commence with?,A new sequence with a one bar model ,A new sequence with a two bar model,A bang,Material from the closing section of the exposition,A sense of purpose,
