#,Question,Correct,Wrong,Wrong,Wrong,Wrong
1,Schubert: What is the instrumentation of the piece?,Voice and piano,Solo instrument and piano,Orchestra,String quartet,Two pianos
2,Schubert: What does Frühlingstraum mean?,Spring dream,Winter dream,Fruity Plum,Violin,Autumn dream
3,Schubert: What kind of song is it?,An art song,A pop song,hell nah,A sing song sang sung,An instrumental song
4,Schubert: What is D. 911,Catalogue of his works,A random letter followed by a number,"Doomsday, 911 incident",His 911th work,A magazine catalogue
5,Schubert: Who wrote the text for the work?,Wilhelm Müller,J.K. Rowling,Marcus Hildebrandt,Leo,Morenz Bittermann
6,Schubert: What does Lied mean in German?,Song,Piece,Music,Piano,Past tense for 'lie'
7,Schubert: How many songs are in the set called Winterreise?,24,11,16,4,911
8,Schubert: In which place is Frühlingstraum in the set called Winterreise?,11th,12th,24th,2nd,DNF
9,Schubert: What does Lied mean as a musical genre designation?,A song set to German text,A song set to Italian text,A piece of music with words,Words with a piece of music,A piece with words of music
10,Schubert: How far back in time do Lied go?,The Middle Ages,Jesus times,The Renaissance,The Dark Ages,Prehistoric times (e.g. dinosaur)
11,Schubert: In what time period did Lied develop to widespread recognition?,The nineteenth century,Jesus times,The eighteenth century,10 minutes,The seventeenth century
12,Schubert: The devleopment of the Lied into widespread recognition had its roots where?,The second half of the eighteenth century,The first half of the eighteenth century,In the ground,The second half of the seventeenth century,The first half of the nineteenth century
13,Schubert: What are the main reasons for the development of Lied into widespread recognition?,"The growth of German as a literary language, and how language can help social cohesion",The growth of Nazi Germany and Hitler's mo,"The growth of German as a literary language, and the development of Germany into a first-world nation","The spread of European music across the world, and how language can help social cohesion","Food from Germany becoming more popular around the world, and the love of their toilets"
14,Schubert: Who was at the forefront of the development of Lied into widespread recognition?,Johann Wolfang von Goethe,Johann Sebastian Bach,Heinrich Mitter,Elmar Preiszner,Ralf Reiter
15,Schubert: What idea was developed by Johann Gottfried Herder?,Language is the most powerful determinant of social cohesion,Music is the most powerful determinant of social cohesion,The reason for the combination of music and language is that it sounds good,That German food is tasty,Language is the key tool of communication within a society
16,What happened to Joe mama?,They changed their last name to papa,They changed their last name to Biden,Died in a hole R.I.P.,Stopped practising saxophone so got spanked,Joe
17,Schubert: Whyy were peasants interested in Lied?,The idea that Lied united everyone into one class,Lied gave them an opportunity to become rich performing it,Lied let them understand what it was like to be in the upper class,Peasants had a natural musical aptitude and therefore found it easier to learn and play,They had nothing else to do
18,Hello,Goodbye,Die,Why,Hi,Sigh
19,Schubert: Why was much of the German poetry written in the early stages try to disconnect from the sophistication of the town/city?,"Town dominated by Italian opera, didn't want that style of music",Town dominated by Italian opera so they tried to rip it off outside of town,"The town was dominated by French opera, didn't want that style of music","Town was dominated by German opera, but they didn't want that genre of music",The sophistication of the urbanised areas did not suit the lifestyle of the peasants
20,Schubert: The striving of German poetry during late 18th to early 19th Centuries toward oral folk traditions was for what purpose?,People wanted an art that was unmediated by artificial formal conventions,People wanted music that had no connection to the music of the wealthy,To revive folk music as it was very popular when it was around,To remember and respect the ancestors of their music,People wanted an art form that was not influenced by wealth or power
21,Schubert: The urges for an art that was unmediated by artificial conventions (e.g. Italian opera) was amplified by what?,The emerging Romantic movement,The emerging classical movement,The emerging jazz movement,Donald Trump's unwillingness to back down,The emerging renaissance movement
22,Schubert: What did the emerging Romantic movement emphasise?,Unfettered expressions of feeling and emotion rather than the abstract appreciation of form,Undisturbed expressions of abstract appreciation of form rather than those of feeling and emotion,The serious lack of aid provided by developed countries to developing countries,Expressive techniques that were unique to the Romantic movement,The emerging Romantic composers
23,Schubert: What kind of feeling could this kind of music inspire in the individual?,Feelings of the power of nature and awe and wonder,Feelings of the power of nature and resentment towards it,Feelings of the weakness of nature and its dependence on humankind,The awe and wonder inspired by a burrito,How bad BTS is at making music (jk they don't make music)
24,Schubert: What effect did the growing availability and popularity of the piano have on the development of the Romantic Lied?,"Led to the increasing numbers of German Lied being produced, due to presence in peoples' homes",Led to a serious shortage of piano teachers,Led to a boom in the musical instrument manufacturing industry,Led to the increasing numbers of German Lied being produced due to the lack of piano teachers,Led to increasing numbers of home insurance claims due to the increased presence of pianos in peoples' homes
