#,Question,Correct,Wrong,Wrong,Wrong,Wrong
1,What is the lieder set work?,Fruhlingstraum from Winterreise D. 911 by Schubert,Fruhlingstraum from Summerreise D.911 by Schubert,Winterstraum from Fruhlingrreise D.911 by Schubert,We Are Bulletproof : The Eternal by BTS (highly recommend),
2,What does Fruhlingstraum mean?,Dream of spring,Dream of summer,Spring Day,Dream of flowers,
3,What does Winterreise mean?,Winter's journey,No More Dream,Cold journey,Lonely journey,
4,How many songs are in Winterreise and which number is Fruhlingstraum? (Respective),"24, 11","14, 11","34, 22","24, 23",
5,What was a domestic factor in the development of the Romantic Lied?,The growing availability and popularity of the piano and its presence in homes across a range of social classes.,The growing popularity of singing and availability of good teachers across a range of social classes.,"People's daughters transforming into ARMY fangirls, which led to composers panicking and introducing Romantic Lied.",The decreasing popularity of Classical Lied among citizens which led composers to introduce Romantic Lied.,
6,What was a factor in the development of Lied originally thought of by philosopher Johann Gottfried Herder?,"That language could unify all social classes, which sparked interest in lower classes.","That BTS would top the charts, so composers hurried to retain people's interest","That music could unify all social classes, which sparked interest in lower classes.","That language could only be appreciated by upper classes, which sparked an uprising in the lower classes.",
7,Why did composers begin to focus on the piano accompaniment of Lieder?,They realised the potential it had to support the text in a range of expressive ways.,They realised that it had previously had too great a role.,They realised that BTS was too good at singing so they had to divert their attention to where they were not yet beaten.,"Their audiences were becoming dissatisfied with the piano part, so the composers had to adapt.",
8,What is a song cycle?,A unified collection of songs written to be performed in sequence.,A collection of songs written to be performed in a sequence of the performer's choice.,A song with eleven unified parts to be performed in sequence. ,A loop of the top ten BTS songs that plays ten times.,
9,When was Winterreise composed?,1828,1838,1848,1997,
10,Who wrote the poem Schubert set in Fruhlingstraum?,Wilhelm Muller,Suga,Wilfred Muller,Johann Wolfgang von Goethe,
11,Schubert - What is a recurring idea in the text?,The contrast between dreams and reality,The personalities of BTS members,The contrast between love and loneliness,The similarities between the narrator's past life and his dreams,
12,Which of the following is NOT a means through which composers unify song cycles?,The songs are in the same time and key.,The songs are linked by explicit recollection of musical motifs between certain songs.,There is often an implicit narrative thread.,The songs are presented as musically independent numbers and the relationship is more implicit.,
13,How does the changing music of Fruhlingstraum reflect its text?,"The 'happier' sections are symbolic of warmth and dreams, while the 'sadder' sections are symbolic of coldness and reality.","The slower sections are reflective of reminiscing dreams, while the faster sections reflect the poet's haste to focus on reality.","The happier sections symbolise Schubert's love for Kpop, while the sadder sections convey Schubert's distaste for antis.","The minor sections reflect the poet's old and harsh life, while the major sections reflect the great new life he has found.",
14,What is the main subject matter of Winterreise?,"A poet who realises his destiny to always wander in solitude and perhaps never know love, companionship and rest.",A poet who must journey the world forever in search of something that does not exist.,"The hardships endured by BTS, which make international ARMYs sad because they can't help their oppas in Korea 😢",A wandering shepherd who is lost and cannot find his way home to his loved ones.,
15,Comment on how Schubert treats the piano accompaniment in Fruhlingstraum.,It imitates not only concrete imagery but evokes a feeling far more powerful than the text could.,It creates implicit imagery and imitates the feeling created by the text,It is barely heard as Schubert intended for the voice to be the prominent part.,"It is the prominent part, bringing out the main imagery and themes in the piece.",
16,How has Schubert set the six stanzas of poetry used in Fruhlingstraum?,ABCABC,ABBCBB,AABCCB,ABACAA,
17,How is the music in Fruhlingstraum used to assist the story in Section A?,"Section A adopts a direct, folk song-like style with the help of the siciliana pattern which is associated with pastoral themes. The piano consists of gently rolling chords.","Section A adopts a direct, folk-like style with the help of the melisma pattern, associated with beautiful and floral themes","Section A adopts a direct, folk song-like style with the help of the napolitana pattern which is associated with pastoral themes. The piano consists of gently rolling chords.","Section A adopts a direct, folk song-like style with the help of the florentine pattern which is associated with pastoral themes. The piano consists of gently rolling chords.",
18,How is the music in Fruhlingstraum used to assist the story in Section B?,"The tempo increases and the mode switches to minor. The piano consists of short, sharp block chords. ","The tempo decreases and the mode switches to minor. The piano consists of sharp, chromatic chords.",The tempo increases and the mode switches to minor. The piano consists of harsh and fast rolling chords.,The tempo increases and the mode switches to minor. The piano consists of gentle block chords.,
19,How many lieder did Schubert write?,Over 600,Over 60,Over 6000,Over 2013,
20,Schubert - What are the metric qualities of the verse?,It is written in iambic trimeter (unstressed-stressed-unstressed),It is written in iambic pentameter (unstressed-stressed),It is written in iambic pentameter (stressed-unstressed),It is written in iambic trimeter (stressed-unstressed-stressed),
21,How is the structure of Fruhlingstraum effective as a narrative?,Quatrains A are about the poet's dreams. Quatrains B are about his sudden awakening to reality. Quatrains C evoke the poet's yearning to return to his dreams.,Quatrains A are about reality. Quatrains B are about his unpleasant dreams. Quatrains C evoe the poet's yearning to return to reality.,Quatrains A are about the poet's dreams. Quatrains B are about his sudden awakening to reality. Quatrains C evoke the poet's haste to flee his dreams.,Quatrains A are about the poet's ,
22,Which of the following does Schubert NOT use to effectively contrast the three ideas in Fruhlingstraum?,Changes of instrumentation and texture,Changes of style,Changes of modality and key,Changes of tempo and meter,
23,What is the role of the piano in Lieder?,It is an accompaniment of equal prominence to the text that supports the ideas and feelings of the text in expressive ways.,"It is the prominent part, overpowering the text and expressively creating the main feelings and ideas.","It is an accompaniment of less importance than the text that has little musical value, occasionally chipping in.",It is a part of equal prominence to the voice and it introduces all the themes while the voice supports the ideas and feelings.,
24,Schubert - What does the siciliana pattern found in the 4-bar introduction NOT present?,Images of mountainous landscapes,Pastoral themes,Images of nature,Folk-like musical 'image' to the audience,
25,Schubert - What is the intention of the iambic trimeter used in the text?,To promote a folk-like simplicity and 'artlessness' to the text,To demote a folk-like simplicity and 'artlessness' to the text,To promote a delicacy and 'artfulness' to the text,To promote images of sophistication for the audience,
26,Schubert - What is the final foot in the first line of each pair?,An amphibrach,An iamb,A reptibrach,A trimeter,A nudibranch
27,Schubert - Do the main points of stress remain constant in the text?,Yes,No,Yes except for one instance,Only for one instance,
28,What is a melisma?,A group of notes sung to one syllable,"A kind of rhythm associated with folkish, pastoral themes",A term used to describe singing one note per syllable,A pair of notes sung to one syllable,
29,Schubert - How is the setting of the text?,Typical of Lied: it is mostly syllabic and the rare melismas occupy no more than 2 notes,Typical of Lied: it is rarely syllabic and melismas are found abundantly,Untypical of Lied: it is rarely syllabic and almost every syllable is a melisma,Typical of Lied: it is all syllabic.,
30,Schubert - Which of the following is not represented by the major sections?,Wealth,Dreaming,Spring/warmth,Love,
31,Schubert - Which of the following is not represented by the minor sections?,Poverty,Reality,Winter/coldness,Loneliness,
32,Schubert - How is the material written?,Almost completely diatonic without modulation,Almost completely chromatic with much modulation,Almost completely diatonic with much modulation,Very well ,
