#,QUESTIONS,CORRECT,INCORRECT,,,
1,What is the art song set work?,O Mistress Mine from Let Us Garlands Bring Op.18 ,O Mistress Mine from Garlands Let Us Take Op.81 ,"Airplane, Pt.2 by BTS (highly recommend)",O Mistress Mine from Let Us Bring Garlands Op.28 ,
2,Who wrote the text of Let Us Garlands Bring?,Shakespeare,Hitman Bang,Milton,Coleridge,
3,How many separate texts does Let Us Garlands Bring set?,Five,Thirteen,Eight,Eleven,
4,Which of the following was NOT a composer of art song?,[lieder composer],Ralph Vaughan Williams,John Ireland,Arnold Bax,
5,What is O Mistress Mine about?,It is a light-hearted reflection on love and youth.,It is a deep reflection on love and the mortality of youth.,It is a light-hearted reflection on being grateful for little things.,It is about waiting for 00:00 when the day will be over,
6,What was the 'English musical Renaissance'?,"The period in which England freed themselves from foreign musical influences, to have begun writing in a distinctively national manner",The period in which England freed themselves from old national English music and changed their style.,"The period in which English composers competed against BTS as to who could write better songs, and BTS won.",The period in which England was overwhelmed by foreign musical influences and lost their national musical style.,
7,Who wrote the art song set work?,Gerald Finzi,Franz Schubert,George Friedric Handel,Rapmon,
8,What is the rhyme scheme of each sextain in Let Us Garlands Bring?,AABCCB,ABACDC,AAABBB,ABBCBB,
9,How are the modulations in the piece used to reflect the ideas in the text?,"The piece is bouncy as the poet addresses the object of his affection, and becomes more reflective as the poet addresses the need to be joyful while still young.","The song is determined as the idea of surviving one more day is expressed, and is temporarily taken back a notch as though building up energy to explode. ","The piece is more reflective as the poet addresses the object of his affection, and becomes bouncy as the poet addresses the need to be joyful while still young.","The piece is slow and melancholy as the poet addresses the once-was object of his affection, and becomes reflective as he addresses the need to be joyful while still young.",
10,What does the text consist of?,Two six-line stanzas or sextains,Three six-line stanzas or sextains,Six four-line stanzas or quatrains,Hobicore vibes,
11,What is the role of the piano in O Mistress Mine?,It ,It accompanies the vocal part,It is accompanied by the vocal part,,
12,Which play is the text of Let Us Garlands Bring from?,Twelfth Night by Shakespeare,Twelfth Day by Shakespeare,Ninth Night by Shakespeare,Life Goes On by BTS,
13,How is the vocal line?,Simple and direct,Extravagant and indirect,Excessively simple,Straightfoward and monotonous,
14,How is the text set?,Syllabic and has a natural rhythm close to the declamation of the words.,Melismatic and has a rhythm not very close to the declamation of the words.,Melismatic but has a natural rhythm close to the declamation of the words.,Syllabic but has a rhythm not very close to the declamation of the words.,
15,How does Finzi emphasise the point of the text?,By using direct imitation between the voice and the piano at the final line of each stanza,By using direct imitation between the voice and the piano at the final line of the piece,By using direct imitation between the voice and the piano of motifs throughout the piece,By using direct imitation between the voice and the piano at the first line of each stanza,
16,What key does the harmony shift to at the final line of each stanza?,The parallel minor,The dominant,The relative minor,The parallel major,
